2026/09/16 16:41:43.606, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:44.106, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:44.606, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:45.107, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:45.607, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:46.235, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:46.735, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:47.236, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:47.736, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:48.236, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:48.736, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:49.236, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:49.736, NVIDIA L40S, 580.173.02, 4411 MiB, 32 %, 116.89 W
2026/09/16 16:41:50.236, NVIDIA L40S, 580.173.02, 4411 MiB, 26 %, 135.15 W
2026/09/16 16:41:50.737, NVIDIA L40S, 580.173.02, 4411 MiB, 26 %, 130.50 W
2026/09/16 16:41:51.237, NVIDIA L40S, 580.173.02, 4411 MiB, 24 %, 129.54 W
2026/09/16 16:41:51.737, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 128.53 W
2026/09/16 16:41:52.237, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 130.59 W
2026/09/16 16:41:52.737, NVIDIA L40S, 580.173.02, 4411 MiB, 5 %, 124.01 W
2026/09/16 16:41:53.238, NVIDIA L40S, 580.173.02, 4411 MiB, 23 %, 119.54 W
2026/09/16 16:41:53.738, NVIDIA L40S, 580.173.02, 4411 MiB, 23 %, 122.62 W
2026/09/16 16:41:54.238, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 127.33 W
2026/09/16 16:41:54.738, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 129.38 W
2026/09/16 16:41:55.238, NVIDIA L40S, 580.173.02, 4411 MiB, 23 %, 132.21 W
2026/09/16 16:41:55.738, NVIDIA L40S, 580.173.02, 4411 MiB, 23 %, 130.79 W
2026/09/16 16:41:56.239, NVIDIA L40S, 580.173.02, 4411 MiB, 2 %, 119.31 W
2026/09/16 16:41:56.739, NVIDIA L40S, 580.173.02, 4411 MiB, 23 %, 118.65 W
2026/09/16 16:41:57.239, NVIDIA L40S, 580.173.02, 4411 MiB, 26 %, 128.32 W
